# ACTS Test Suite Generation: Mon Dec 13 19:47:07 CET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 5
# Number of parameters: 7
# Maximum number of values per parameter: 7
# Number of configurations: 447
Tarif,Zuzahlung_zu_Beginn,Beitrag_40b,Beitrag_363,Durchfuehrungsweg,Art_der_Rueckdeckung,Beitrag
AREven,0,0,0,Direktversicherung,keine,0
AREven,0,0,2068,Direktversicherung,keine,0
AREven,0,0,4068,Direktversicherung,keine,0
AREven,0,2148,0,Direktversicherung,keine,0
AREven,0,2148,2068,Direktversicherung,keine,0
AREven,0,2148,4068,Direktversicherung,keine,0
AREven,0,2149,0,Direktversicherung,keine,0
AREven,0,2149,2068,Direktversicherung,keine,0
AREven,0,2149,4068,Direktversicherung,keine,0
AREven,2000,0,0,Direktzusage,Rueckdeckungsversicherung,0
AREven,2000,0,2068,Direktversicherung,keine,0
AREven,2000,0,4068,Direktversicherung,keine,0
AREven,2000,2148,0,Direktversicherung,keine,0
AREven,2000,2148,2068,Direktversicherung,keine,0
AREven,2000,2148,4068,Direktversicherung,keine,0
AREven,2000,2149,0,Direktversicherung,keine,0
AREven,2000,2149,2068,Direktversicherung,keine,0
AREven,2000,2149,4068,Direktversicherung,keine,0
AREven,99,0,0,Direktversicherung,keine,0
AREven,99,0,2068,Direktversicherung,keine,0
AREven,99,0,4068,Direktversicherung,keine,0
AREven,99,2148,0,Direktversicherung,keine,0
AREven,99,2148,2068,Direktversicherung,keine,0
AREven,99,2148,4068,Direktversicherung,keine,0
AREven,99,2149,0,Direktversicherung,keine,0
AREven,99,2149,2068,Direktversicherung,keine,0
AREven,99,2149,4068,Direktversicherung,keine,0
AREven,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,0
AROdd,0,0,0,Direktzusage,Rueckdeckungsversicherung,0
AROdd,2000,0,0,Direktzusage,Rueckdeckungsversicherung,0
AROdd,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,0
FR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,0
FR20,0,0,2068,Direktversicherung,keine,0
FR20,0,0,4068,Direktversicherung,keine,0
FR20,0,2148,0,Direktversicherung,keine,0
FR20,0,2148,2068,Direktversicherung,keine,0
FR20,0,2148,4068,Direktversicherung,keine,0
FR20,0,2149,0,Direktversicherung,keine,0
FR20,0,2149,2068,Direktversicherung,keine,0
FR20,0,2149,4068,Direktversicherung,keine,0
FR20,2000,0,0,Direktversicherung,keine,0
FR20,2000,0,2068,Direktversicherung,keine,0
FR20,2000,0,4068,Direktversicherung,keine,0
FR20,2000,2148,0,Direktversicherung,keine,0
FR20,2000,2148,2068,Direktversicherung,keine,0
FR20,2000,2148,4068,Direktversicherung,keine,0
FR20,2000,2149,0,Direktversicherung,keine,0
FR20,2000,2149,2068,Direktversicherung,keine,0
FR20,2000,2149,4068,Direktversicherung,keine,0
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,0
FR20,99,0,2068,Direktversicherung,keine,0
FR20,99,0,4068,Direktversicherung,keine,0
FR20,99,2148,0,Direktversicherung,keine,0
FR20,99,2148,2068,Direktversicherung,keine,0
FR20,99,2148,4068,Direktversicherung,keine,0
FR20,99,2149,0,Direktversicherung,keine,0
FR20,99,2149,2068,Direktversicherung,keine,0
FR20,99,2149,4068,Direktversicherung,keine,0
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,0
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,0
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,0
HR20,0,0,0,Direktzusage,Unterstuetzungskasse,0
HR20,0,0,2068,Direktversicherung,keine,0
HR20,0,0,4068,Direktversicherung,keine,0
HR20,0,2148,0,Direktversicherung,keine,0
HR20,0,2148,2068,Direktversicherung,keine,0
HR20,0,2148,4068,Direktversicherung,keine,0
HR20,0,2149,0,Direktversicherung,keine,0
HR20,0,2149,2068,Direktversicherung,keine,0
HR20,0,2149,4068,Direktversicherung,keine,0
HR20,2000,0,0,Direktversicherung,keine,0
HR20,2000,0,2068,Direktversicherung,keine,0
HR20,2000,0,4068,Direktversicherung,keine,0
HR20,2000,2148,0,Direktversicherung,keine,0
HR20,2000,2148,2068,Direktversicherung,keine,0
HR20,2000,2148,4068,Direktversicherung,keine,0
HR20,2000,2149,0,Direktversicherung,keine,0
HR20,2000,2149,2068,Direktversicherung,keine,0
HR20,2000,2149,4068,Direktversicherung,keine,0
HR20,99,0,0,Direktversicherung,keine,0
HR20,99,0,2068,Direktversicherung,keine,0
HR20,99,0,4068,Direktversicherung,keine,0
HR20,99,2148,0,Direktversicherung,keine,0
HR20,99,2148,2068,Direktversicherung,keine,0
HR20,99,2148,4068,Direktversicherung,keine,0
HR20,99,2149,0,Direktversicherung,keine,0
HR20,99,2149,2068,Direktversicherung,keine,0
HR20,99,2149,4068,Direktversicherung,keine,0
HR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,0
PK10,0,0,0,Pensionskasse,keine,0
PK10,0,0,2068,Pensionskasse,keine,0
PK10,0,0,4068,Pensionskasse,keine,0
PK10,0,2148,0,Pensionskasse,keine,0
PK10,0,2148,2068,Pensionskasse,keine,0
PK10,0,2148,4068,Pensionskasse,keine,0
PK10,0,2149,0,Pensionskasse,keine,0
PK10,0,2149,2068,Pensionskasse,keine,0
PK10,0,2149,4068,Pensionskasse,keine,0
PK10,2000,0,0,Pensionskasse,keine,0
PK10,2000,0,2068,Pensionskasse,keine,0
PK10,2000,0,4068,Pensionskasse,keine,0
PK10,2000,2148,0,Pensionskasse,keine,0
PK10,2000,2148,2068,Pensionskasse,keine,0
PK10,2000,2148,4068,Pensionskasse,keine,0
PK10,2000,2149,0,Pensionskasse,keine,0
PK10,2000,2149,2068,Pensionskasse,keine,0
PK10,2000,2149,4068,Pensionskasse,keine,0
PK10,299,0,0,Pensionskasse,keine,0
PK10,299,0,2068,Pensionskasse,keine,0
PK10,299,0,4068,Pensionskasse,keine,0
PK10,299,2148,0,Pensionskasse,keine,0
PK10,299,2148,2068,Pensionskasse,keine,0
PK10,299,2148,4068,Pensionskasse,keine,0
PK10,299,2149,0,Pensionskasse,keine,0
PK10,299,2149,2068,Pensionskasse,keine,0
PK10,299,2149,4068,Pensionskasse,keine,0
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,0
RVx,2000,0,0,Direktzusage,Rueckdeckungsversicherung,0
RVx,299,0,0,Direktzusage,Rueckdeckungsversicherung,0
RVx,5001,0,0,Direktzusage,Rueckdeckungsversicherung,0
AREven,0,0,0,Direktzusage,Unterstuetzungskasse,600
AREven,0,0,2068,Direktversicherung,keine,600
AREven,0,0,4068,Direktversicherung,keine,600
AREven,0,2148,0,Direktversicherung,keine,600
AREven,0,2148,2068,Direktversicherung,keine,600
AREven,0,2148,4068,Direktversicherung,keine,600
AREven,0,2149,0,Direktversicherung,keine,600
AREven,0,2149,2068,Direktversicherung,keine,600
AREven,0,2149,4068,Direktversicherung,keine,600
AREven,2000,0,0,Direktversicherung,keine,600
AREven,2000,0,2068,Direktversicherung,keine,600
AREven,2000,0,4068,Direktversicherung,keine,600
AREven,2000,2148,0,Direktversicherung,keine,600
AREven,2000,2148,2068,Direktversicherung,keine,600
AREven,2000,2148,4068,Direktversicherung,keine,600
AREven,2000,2149,0,Direktversicherung,keine,600
AREven,2000,2149,2068,Direktversicherung,keine,600
AREven,2000,2149,4068,Direktversicherung,keine,600
AREven,99,0,0,Direktversicherung,keine,600
AREven,99,0,2068,Direktversicherung,keine,600
AREven,99,0,4068,Direktversicherung,keine,600
AREven,99,2148,0,Direktversicherung,keine,600
AREven,99,2148,2068,Direktversicherung,keine,600
AREven,99,2148,4068,Direktversicherung,keine,600
AREven,99,2149,0,Direktversicherung,keine,600
AREven,99,2149,2068,Direktversicherung,keine,600
AREven,99,2149,4068,Direktversicherung,keine,600
AREven,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,600
AROdd,0,0,0,Direktzusage,Rueckdeckungsversicherung,600
AROdd,2000,0,0,Direktzusage,Rueckdeckungsversicherung,600
AROdd,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,600
FR20,0,0,0,Direktversicherung,keine,600
FR20,0,0,2068,Direktversicherung,keine,600
FR20,0,0,4068,Direktversicherung,keine,600
FR20,0,2148,0,Direktversicherung,keine,600
FR20,0,2148,2068,Direktversicherung,keine,600
FR20,0,2148,4068,Direktversicherung,keine,600
FR20,0,2149,0,Direktversicherung,keine,600
FR20,0,2149,2068,Direktversicherung,keine,600
FR20,0,2149,4068,Direktversicherung,keine,600
FR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,600
FR20,2000,0,2068,Direktversicherung,keine,600
FR20,2000,0,4068,Direktversicherung,keine,600
FR20,2000,2148,0,Direktversicherung,keine,600
FR20,2000,2148,2068,Direktversicherung,keine,600
FR20,2000,2148,4068,Direktversicherung,keine,600
FR20,2000,2149,0,Direktversicherung,keine,600
FR20,2000,2149,2068,Direktversicherung,keine,600
FR20,2000,2149,4068,Direktversicherung,keine,600
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,600
FR20,99,0,2068,Direktversicherung,keine,600
FR20,99,0,4068,Direktversicherung,keine,600
FR20,99,2148,0,Direktversicherung,keine,600
FR20,99,2148,2068,Direktversicherung,keine,600
FR20,99,2148,4068,Direktversicherung,keine,600
FR20,99,2149,0,Direktversicherung,keine,600
FR20,99,2149,2068,Direktversicherung,keine,600
FR20,99,2149,4068,Direktversicherung,keine,600
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,600
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,600
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,600
HR20,0,0,0,Direktversicherung,keine,600
HR20,0,0,2068,Direktversicherung,keine,600
HR20,0,0,4068,Direktversicherung,keine,600
HR20,0,2148,0,Direktversicherung,keine,600
HR20,0,2148,2068,Direktversicherung,keine,600
HR20,0,2148,4068,Direktversicherung,keine,600
HR20,0,2149,0,Direktversicherung,keine,600
HR20,0,2149,2068,Direktversicherung,keine,600
HR20,0,2149,4068,Direktversicherung,keine,600
HR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,600
HR20,2000,0,2068,Direktversicherung,keine,600
HR20,2000,0,4068,Direktversicherung,keine,600
HR20,2000,2148,0,Direktversicherung,keine,600
HR20,2000,2148,2068,Direktversicherung,keine,600
HR20,2000,2148,4068,Direktversicherung,keine,600
HR20,2000,2149,0,Direktversicherung,keine,600
HR20,2000,2149,2068,Direktversicherung,keine,600
HR20,2000,2149,4068,Direktversicherung,keine,600
HR20,99,0,0,Direktversicherung,keine,600
HR20,99,0,2068,Direktversicherung,keine,600
HR20,99,0,4068,Direktversicherung,keine,600
HR20,99,2148,0,Direktversicherung,keine,600
HR20,99,2148,2068,Direktversicherung,keine,600
HR20,99,2148,4068,Direktversicherung,keine,600
HR20,99,2149,0,Direktversicherung,keine,600
HR20,99,2149,2068,Direktversicherung,keine,600
HR20,99,2149,4068,Direktversicherung,keine,600
HR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,600
PK10,0,0,0,Pensionskasse,keine,600
PK10,0,0,2068,Pensionskasse,keine,600
PK10,0,0,4068,Pensionskasse,keine,600
PK10,0,2148,0,Pensionskasse,keine,600
PK10,0,2148,2068,Pensionskasse,keine,600
PK10,0,2148,4068,Pensionskasse,keine,600
PK10,0,2149,0,Pensionskasse,keine,600
PK10,0,2149,2068,Pensionskasse,keine,600
PK10,0,2149,4068,Pensionskasse,keine,600
PK10,2000,0,0,Pensionskasse,keine,600
PK10,2000,0,2068,Pensionskasse,keine,600
PK10,2000,0,4068,Pensionskasse,keine,600
PK10,2000,2148,0,Pensionskasse,keine,600
PK10,2000,2148,2068,Pensionskasse,keine,600
PK10,2000,2148,4068,Pensionskasse,keine,600
PK10,2000,2149,0,Pensionskasse,keine,600
PK10,2000,2149,2068,Pensionskasse,keine,600
PK10,2000,2149,4068,Pensionskasse,keine,600
PK10,299,0,0,Pensionskasse,keine,600
PK10,299,0,2068,Pensionskasse,keine,600
PK10,299,0,4068,Pensionskasse,keine,600
PK10,299,2148,0,Pensionskasse,keine,600
PK10,299,2148,2068,Pensionskasse,keine,600
PK10,299,2148,4068,Pensionskasse,keine,600
PK10,299,2149,0,Pensionskasse,keine,600
PK10,299,2149,2068,Pensionskasse,keine,600
PK10,299,2149,4068,Pensionskasse,keine,600
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,600
FR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,299
FR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,299
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,299
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,299
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,299
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,299
PK10,0,0,0,Pensionskasse,keine,299
PK10,0,0,2068,Pensionskasse,keine,299
PK10,0,0,4068,Pensionskasse,keine,299
PK10,0,2148,0,Pensionskasse,keine,299
PK10,0,2148,2068,Pensionskasse,keine,299
PK10,0,2148,4068,Pensionskasse,keine,299
PK10,0,2149,0,Pensionskasse,keine,299
PK10,0,2149,2068,Pensionskasse,keine,299
