Tarif,Zuzahlung_zu_Beginn,Beitrag_40b,Beitrag_363,Durchfuehrungsweg,Art_der_Rueckdeckung,Beitrag
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,125001
AROdd,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,600
RVx,5001,0,0,Direktzusage,Rueckdeckungsversicherung,299
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,5000
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,24
RVx,0,0,0,Direktzusage,Rueckdeckungsversicherung,5000
PK10,2000,2149,2068,Pensionskasse,keine,299
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,24
PK10,299,2148,4068,Pensionskasse,keine,600
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,5000
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,299
HR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,599
AREven,0,0,0,Direktzusage,Unterstuetzungskasse,600
AREven,99,2148,2068,Direktversicherung,keine,599
FR20,2000,2149,4068,Direktversicherung,keine,600
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,24
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,0
PK10,299,0,2068,Pensionskasse,keine,0
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,24
PK10,299,2148,0,Pensionskasse,keine,299
HR20,99,0,4068,Direktversicherung,keine,600
RVx,2000,0,0,Direktzusage,Rueckdeckungsversicherung,5000
RVx,299,0,0,Direktzusage,Rueckdeckungsversicherung,125001
AREven,2000,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,24
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,600
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,24
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,5000
HR20,0,0,0,Direktzusage,Unterstuetzungskasse,599
PK10,0,2149,4068,Pensionskasse,keine,299
HR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,125001
PK10,299,2149,4068,Pensionskasse,keine,599
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,299
AREven,99,2149,4068,Direktversicherung,keine,0
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,599
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,125001
RVx,5001,0,0,Direktzusage,Rueckdeckungsversicherung,5000
HR20,0,0,0,Direktzusage,Unterstuetzungskasse,0
RVx,2000,0,0,Direktzusage,Rueckdeckungsversicherung,0
AROdd,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,599
AROdd,0,0,0,Direktzusage,Rueckdeckungsversicherung,0
HR20,0,2148,2068,Direktversicherung,keine,0
AROdd,2000,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,0,2148,2068,Direktversicherung,keine,600
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,125001
PK10,0,2149,0,Pensionskasse,keine,299
PK10,2000,2148,4068,Pensionskasse,keine,299
AREven,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,0
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,299
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,600
HR20,2000,2149,0,Direktversicherung,keine,0
