# ACTS Test Suite Generation: Mon Nov 08 12:00:57 CET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 9
# Maximum number of values per parameter: 5
# Number of configurations: 49
Tarif,Durchfuehrungsweg,Art_der_Rueckdeckung,Finanzierungsart,Zuzahlung_zu_Beginn,Beitrag_40b,Beitrag_663,AN_Beitrag,AG_Beitrag,Erwartetes Ergebnis
ARx,Direktversicherung,keine,AG-finanziert,0,0,0,0,0,Nicht gültig
ARx,Direktversicherung,Rückdeckungskasse,AN-finanziert,2000,2000,2000,2000,0,Gültig
ARx,Direktversicherung,Unterstützungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
ARx,Direktzusage,keine,AN-finanziert,0,2000,2000,0,0,Nicht gültig
ARx,Direktzusage,Rückdeckungskasse,AG-finanziert,0,0,2000,0,2000,Nicht gültig
ARx,Direktzusage,Unterstützungskasse,AN-finanziert,2000,0,0,2000,0,Nicht gültig
FR20,Direktversicherung,keine,AN-finanziert,2000,0,2000,2000,0,Nicht gültig
FR20,Direktversicherung,Rückdeckungskasse,AG-finanziert,0,2000,0,0,2000,Nicht gültig
FR20,Direktversicherung,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
FR20,Direktzusage,keine,AG-finanziert,2000,2000,0,0,2000,Nicht gültig
FR20,Direktzusage,Rückdeckungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
FR20,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,0,Nicht gültig
HR20,Direktversicherung,keine,AG-finanziert,2000,2000,2000,0,2000,Gültig
HR20,Direktversicherung,Rückdeckungskasse,AN-finanziert,0,0,2000,2000,0,Nicht gültig
HR20,Direktversicherung,Unterstützungskasse,AG-finanziert,0,0,0,0,2000,Nicht gültig
HR20,Direktzusage,keine,AN-finanziert,2000,0,0,2000,0,Nicht gültig
HR20,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,2000,0,0,0,Nicht gültig
HR20,Direktzusage,Unterstützungskasse,AN-finanziert,2000,0,0,0,0,Nicht gültig
PK10,Pensionskasse,keine,AG-finanziert,0,2000,2000,0,2000,Nicht gültig
PK10,Pensionskasse,Rückdeckungskasse,AN-finanziert,2000,0,0,0,0,Nicht gültig
PK10,Pensionskasse,Unterstützungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
RVx,Direktversicherung,keine,AN-finanziert,0,2000,0,2000,0,Nicht gültig
RVx,Direktversicherung,Rückdeckungskasse,AG-finanziert,2000,0,2000,0,2000,Nicht gültig
RVx,Direktversicherung,Unterstützungskasse,AN-finanziert,2000,0,0,0,0,Nicht gültig
RVx,Direktzusage,keine,AG-finanziert,0,0,2000,0,2000,Nicht gültig
RVx,Direktzusage,Rückdeckungskasse,AN-finanziert,0,2000,2000,2000,0,Nicht gültig
RVx,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,2000,Nicht gültig
PK10,Pensionskasse,Rückdeckungskasse,AG-finanziert,0,2000,0,0,0,Nicht gültig
PK10,Pensionskasse,keine,AN-finanziert,2000,2000,2000,2000,0,Gültig
PK10,Pensionskasse,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
FR20,Direktzusage,keine,AN-finanziert,0,2000,2000,0,0,Nicht gültig
HR20,Direktzusage,keine,AN-finanziert,0,2000,2000,2000,0,Nicht gültig
ARx,Direktzusage,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
ARx,Direktzusage,keine,AG-finanziert,2000,2000,0,0,2000,Nicht gültig
RVx,Direktzusage,keine,AG-finanziert,2000,2000,2000,0,0,Nicht gültig
FR20,Direktversicherung,Rückdeckungskasse,AG-finanziert,2000,0,2000,0,2000,Nicht gültig
FR20,Direktzusage,Unterstützungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
PK10,Pensionskasse,keine,AN-finanziert,0,0,2000,0,0,Nicht gültig
PK10,Pensionskasse,keine,AN-finanziert,2000,2000,0,2000,0,Nicht gültig
PK10,Pensionskasse,Rückdeckungskasse,AN-finanziert,2000,2000,2000,2000,0,Gültig
ARx,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
RVx,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,0,0,2000,0,Nicht gültig
FR20,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,2000,2000,2000,0,Gültig
ARx,Direktzusage,keine,AN-finanziert,0,0,2000,2000,0,Nicht gültig
HR20,Direktversicherung,Unterstützungskasse,AN-finanziert,2000,0,0,2000,0,Nicht gültig
RVx,Direktversicherung,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
PK10,Pensionskasse,Rückdeckungskasse,AG-finanziert,2000,0,2000,0,2000,Nicht gültig
RVx,Direktversicherung,keine,AG-finanziert,2000,2000,2000,0,2000,Gültig
HR20,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,2000,0,0,2000,Nicht gültig
