# ACTS Test Suite Generation: Tue Nov 09 12:15:06 CET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 9
# Maximum number of values per parameter: 5
# Number of configurations: 47
Tarif,Durchführungsweg,Art der Rückdeckung,Finanzierungsart,Zuzahlung zu Beginn,Beitrag 40b,Beitrag 663,AN Beitrag,AG Beitrag,Erwartetes Ergebnis
ARx,Direktversicherung,keine,AG-finanziert,0,0,0,0,0,Nicht gültig
ARx,Direktzusage,keine,AN-finanziert,2000,2000,2000,2000,0,Gültig
ARx,Direktzusage,Rückdeckungskasse,AG-finanziert,0,2000,0,0,2000,Nicht gültig
ARx,Direktzusage,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
FR20,Direktversicherung,keine,AN-finanziert,2000,0,2000,0,0,Nicht gültig
FR20,Direktzusage,keine,AG-finanziert,2000,2000,0,0,2000,Nicht gültig
FR20,Direktzusage,Rückdeckungskasse,AN-finanziert,0,0,2000,2000,0,Nicht gültig
FR20,Direktzusage,Unterstützungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
HR20,Direktversicherung,keine,AG-finanziert,2000,2000,2000,0,2000,Gültig
HR20,Direktzusage,keine,AN-finanziert,0,2000,0,2000,0,Nicht gültig
HR20,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,0,2000,0,0,Nicht gültig
HR20,Direktzusage,Unterstützungskasse,AN-finanziert,2000,0,0,2000,0,Nicht gültig
PK10,Pensionskasse,keine,AG-finanziert,0,2000,2000,0,2000,Nicht gültig
PK10,Pensionskasse,Rückdeckungskasse,AN-finanziert,2000,2000,0,2000,0,Nicht gültig
PK10,Pensionskasse,Unterstützungskasse,AG-finanziert,2000,0,0,0,0,Nicht gültig
RVx,Direktversicherung,keine,AN-finanziert,0,2000,0,2000,0,Nicht gültig
RVx,Direktzusage,keine,AG-finanziert,2000,0,2000,0,2000,Nicht gültig
RVx,Direktzusage,Rückdeckungskasse,AN-finanziert,0,0,0,0,0,Nicht gültig
RVx,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,2000,Nicht gültig
PK10,Pensionskasse,Rückdeckungskasse,AG-finanziert,0,0,2000,0,2000,Nicht gültig
PK10,Pensionskasse,keine,AN-finanziert,0,0,0,2000,0,Nicht gültig
PK10,Pensionskasse,Unterstützungskasse,AN-finanziert,0,0,0,0,0,Nicht gültig
FR20,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,2000,2000,0,0,Nicht gültig
RVx,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,2000,2000,0,2000,Gültig
ARx,Direktzusage,Unterstützungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
HR20,Direktzusage,Unterstützungskasse,AG-finanziert,0,0,0,0,2000,Nicht gültig
ARx,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,0,2000,0,0,Nicht gültig
HR20,Direktzusage,Rückdeckungskasse,AN-finanziert,0,2000,2000,2000,0,Nicht gültig
FR20,Direktzusage,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
RVx,Direktzusage,Unterstützungskasse,AN-finanziert,2000,0,0,2000,0,Nicht gültig
FR20,Direktversicherung,keine,AG-finanziert,0,2000,2000,0,2000,Nicht gültig
RVx,Direktversicherung,keine,AG-finanziert,2000,0,2000,0,2000,Nicht gültig
ARx,Direktversicherung,keine,AN-finanziert,2000,2000,2000,2000,0,Gültig
HR20,Direktversicherung,keine,AN-finanziert,0,0,0,2000,0,Nicht gültig
PK10,Pensionskasse,keine,AN-finanziert,2000,2000,2000,2000,0,Gültig
FR20,Direktversicherung,keine,AN-finanziert,2000,2000,0,2000,0,Nicht gültig
ARx,Direktversicherung,keine,AG-finanziert,0,2000,2000,0,2000,Nicht gültig
RVx,Direktzusage,Rückdeckungskasse,AN-finanziert,0,0,2000,2000,0,Nicht gültig
FR20,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,2000,0,0,0,Nicht gültig
HR20,Direktzusage,Rückdeckungskasse,AN-finanziert,2000,2000,0,0,0,Nicht gültig
PK10,Pensionskasse,Unterstützungskasse,AN-finanziert,0,0,0,2000,0,Nicht gültig
ARx,Direktzusage,Rückdeckungskasse,AN-finanziert,0,2000,2000,2000,0,Nicht gültig
FR20,Direktversicherung,keine,AG-finanziert,2000,0,0,0,2000,Nicht gültig
PK10,Pensionskasse,Unterstützungskasse,AG-finanziert,2000,0,0,0,2000,Nicht gültig
RVx,Direktversicherung,keine,AG-finanziert,2000,2000,0,0,0,Nicht gültig
FR20,Direktzusage,Rückdeckungskasse,AG-finanziert,0,2000,0,0,2000,Nicht gültig
HR20,Direktzusage,Rückdeckungskasse,AG-finanziert,2000,2000,0,0,2000,Nicht gültig
